卫视,#genre#
湖北卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227230/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226705/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225993/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226455/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226883/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227034/index.m3u8#http://[2409:8087:1408:26::1021]/wh7f454c46tw785730826_-949336147/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226705/index.m3u8
海南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226801/index.m3u8
山东卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226739/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225992/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227312/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226486/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226875/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227036/index.m3u8#http://[2409:8087:1408:26::114c]/wh7f454c46tw805636279_-430552510/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226739/index.m3u8
东南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226784/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226046/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227022/index.m3u8#http://[2409:8087:1408:26::1018]/wh7f454c46tw2290566654_-774328433/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226784/index.m3u8
吉林卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227163/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227310/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226763/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226928/index.m3u8
广西卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226830/index.m3u8
深圳卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226725/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227239/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226136/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225982/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226463/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226881/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226971/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227050/index.m3u8
辽宁卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226731/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226689/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226156/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227242/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226049/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226425/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226461/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226859/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227011/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227082/index.m3u8#http://[2409:8087:1408:26::114b]/wh7f454c46tw651933394_-704783276/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226731/index.m3u8
四川卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226728/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227245/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226488/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226938/index.m3u8
江西卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226044/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226788/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226985/index.m3u8
河南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226791/index.m3u8
